PCC,SE PCC,dummies,Zscore,NPL,profitability,profit_volat,lnobs,citations,firstpub,DtoD,quadratic,Lerner,Boone,Hstatistic,Concentration,HHI,developed,undeveloped,GMM,2SLS,Logit,FE,RE,OLS,endogeneity,macro,someAveraged,T,sampleyear,reviewed_journal,regulation,global,ownership,IFrecursive,capitalization
0.099053807,0.011612404,0,0,0,0,0,8.902591637,1.030347484,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,14.5,1,1,0,0,0.486,0
0.194483996,0.011446969,0,0,0,0,0,8.902591637,1.030347484,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,14.5,1,1,0,0,0.486,0
-0.079915079,0.011632471,0,0,0,0,0,8.902591637,1.030347484,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,14.5,1,1,0,0,0.486,1
-0.111677139,0.011596795,0,0,0,0,0,8.902591637,1.030347484,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,14.5,1,1,0,0,0.486,1
0.089727425,0.011622723,0,0,0,0,0,8.902591637,1.030347484,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,14.5,1,1,0,0,0.486,0
0.072742992,0.011638879,0,0,0,0,0,8.902591637,1.030347484,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,14.5,1,1,0,0,0.486,0
-0.043138049,0.011658932,0,0,0,1,0,8.902591637,1.030347484,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,14.5,1,1,0,0,0.486,0
-0.018901691,0.01166771,0,0,0,1,0,8.902591637,1.030347484,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,14.5,1,1,0,0,0.486,0
-0.036618581,0.011661968,0,0,0,0,0,8.902591637,1.030347484,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,14.5,1,1,0,0,0.486,0
-0.072164091,0.011639369,0,0,0,0,0,8.902591637,1.030347484,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,14.5,1,1,0,0,0.486,0
0.045930469,0.011657479,1,0,0,0,0,8.902591637,1.030347484,11,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1.098612289,16.5,1,1,0,0,0.486,0
0.038831109,0.011660994,1,0,0,0,0,8.902591637,1.030347484,11,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1.098612289,16.5,1,1,0,0,0.486,0
0.036398029,0.011666035,1,0,0,0,0,8.902591637,1.030347484,11,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1.098612289,16.5,1,1,0,0,0.486,0
0.020308171,0.011671363,1,0,0,0,0,8.902591637,1.030347484,11,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1.098612289,16.5,1,1,0,0,0.486,0
-0.016576045,0.024570283,1,0,0,0,0,7.414572881,0.34657359,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3.465735903,3,1,0,0,0,0.051,0
-0.016576045,0.024570283,1,0,0,0,0,7.414572881,0.34657359,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3.465735903,3,1,0,0,0,0.051,0
-0.016576045,0.024570283,1,0,0,0,0,7.414572881,0.34657359,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3.465735903,3,1,0,0,0,0.051,0
-0.016576045,0.024570283,1,0,0,0,0,7.414572881,0.34657359,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3.465735903,3,1,0,0,0,0.051,0
-0.01686368,0.024996445,1,0,0,0,0,7.38274645,0.34657359,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3.465735903,3,1,1,1,0,0.051,0
-0.01686368,0.024996445,1,0,0,0,0,7.38274645,0.34657359,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3.465735903,3,1,1,1,0,0.051,0
-0.080949679,0.028784772,0,0,0,1,0,7.095064377,0.34657359,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,3.433987204,3.5,1,0,1,0,0.051,0
-0.080949679,0.028784772,0,0,0,0,0,7.095064377,0.34657359,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,3.433987204,3.5,1,0,1,0,0.051,0
0.022436575,0.033251133,1,0,0,0,0,6.811244379,0.34657359,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,3.465735903,3,1,0,0,0,0.051,0
0.022436575,0.033251133,1,0,0,0,0,6.811244379,0.34657359,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,3.465735903,3,1,0,0,0,0.051,0
0.022990186,0.034070901,1,0,0,0,0,6.767343125,0.34657359,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,3.465735903,3,1,1,1,0,0.051,0
-0.022990186,0.034070901,1,0,0,0,0,6.767343125,0.34657359,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,3.465735903,3,1,1,1,0,0.051,0
-0.03187633,0.04722155,1,0,0,0,0,6.11368218,0.34657359,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3.465735903,3,1,0,0,0,0.051,0
-0.03187633,0.04722155,1,0,0,0,0,6.11368218,0.34657359,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3.465735903,3,1,0,0,0,0.051,0
-0.032019682,0.047433565,1,0,0,0,0,6.11368218,0.34657359,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3.465735903,3,1,1,1,0,0.051,0
-0.032019682,0.047433565,1,0,0,0,0,6.11368218,0.34657359,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3.465735903,3,1,1,1,0,0.051,0
-0.089830462,0.031928918,0,0,0,1,0,6.887552572,0.34657359,12,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,3.433987204,3.5,1,0,1,0,0.051,0
-0.021626176,0.032051031,0,0,0,0,0,6.887552572,0.34657359,12,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,3.433987204,3.5,1,0,1,0,0.051,0
-0.130531194,0.046276652,0,0,0,1,0,6.144185634,0.34657359,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,3.433987204,3.5,1,0,1,0,0.051,0
-0.130531194,0.046276652,0,0,0,0,0,6.144185634,0.34657359,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,3.433987204,3.5,1,0,1,0,0.051,0
-0.067124291,0.029906929,0,0,0,1,0,7.021083964,0.34657359,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2.708050201,0,1,0,1,0,0.051,0
-0.020219989,0.029968404,0,0,0,0,0,7.021083964,0.34657359,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2.708050201,0,1,0,1,0,0.051,0
-0.096941552,0.034443433,0,0,0,1,0,6.735780014,0.34657359,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2.302585093,8.5,1,0,1,0,0.051,0
-0.096941552,0.034443433,0,0,0,0,0,6.735780014,0.34657359,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2.302585093,8.5,1,0,1,0,0.051,0
