PCC,SEPCC,dummies,Hstatistic,developed,undeveloped,Logit,lnobs,citations,firstpub,quadratic,Boone,Ifrecursive,regulation,OLS,reviewed_journal,ownership,Concentration,FE,endogeneity,NPL,Lerner,global,HHI,macro,Zscore,RE,T,DtoD,sampleyear,GMM,someAveraged,profit_volat,profitability,SLS,capitalization
0.0070715,0.000829,0,0,0.0714286,0,0,0.6358994,0.0735962,0.7857143,0,0,0.0347143,0.0714286,0.0714286,0.0714286,0,0,0,0,0,0,0,0.0714286,0,0,0,0,0,1.035714,0,0,0,0,0,0
0.0138844,0.0008172,0,0,0.0714286,0,0,0.6358994,0.0735962,0.7857143,0,0,0.0347143,0.0714286,0.0714286,0.0714286,0,0.0714286,0,0,0,0,0,0,0,0,0,0,0,1.035714,0,0,0,0,0,0
-0.0057051,0.0008304,0,0,0.0714286,0,0,0.6358994,0.0735962,0.7857143,0,0,0.0347143,0.0714286,0.0714286,0.0714286,0,0,0,0,0,0,0,0.0714286,0,0,0,0,0,1.035714,0,0,0,0,0,0.0714286
-0.0079727,0.0008279,0,0,0.0714286,0,0,0.6358994,0.0735962,0.7857143,0,0,0.0347143,0.0714286,0.0714286,0.0714286,0,0.0714286,0,0,0,0,0,0,0,0,0,0,0,1.035714,0,0,0,0,0,0.0714286
0.0064056,0.0008297,0,0,0.0714286,0,0,0.6358994,0.0735962,0.7857143,0,0,0.0347143,0.0714286,0.0714286,0.0714286,0,0,0,0,0,0,0,0.0714286,0,0,0,0,0,1.035714,0,0,0,0,0,0
0.0051931,0.0008309,0,0,0.0714286,0,0,0.6358994,0.0735962,0.7857143,0,0,0.0347143,0.0714286,0.0714286,0.0714286,0,0.0714286,0,0,0,0,0,0,0,0,0,0,0,1.035714,0,0,0,0,0,0
-0.0030796,0.0008323,0,0,0.0714286,0,0,0.6358994,0.0735962,0.7857143,0,0,0.0347143,0.0714286,0.0714286,0.0714286,0,0,0,0,0,0,0,0.0714286,0,0,0,0,0,1.035714,0,0,0,0.0714286,0,0
-0.0013494,0.000833,0,0,0.0714286,0,0,0.6358994,0.0735962,0.7857143,0,0,0.0347143,0.0714286,0.0714286,0.0714286,0,0.0714286,0,0,0,0,0,0,0,0,0,0,0,1.035714,0,0,0,0.0714286,0,0
-0.0026142,0.0008325,0,0,0.0714286,0,0,0.6358994,0.0735962,0.7857143,0,0,0.0347143,0.0714286,0.0714286,0.0714286,0,0,0,0,0,0,0,0.0714286,0,0,0,0,0,1.035714,0,0,0,0,0,0
-0.0051518,0.0008309,0,0,0.0714286,0,0,0.6358994,0.0735962,0.7857143,0,0,0.0347143,0.0714286,0.0714286,0.0714286,0,0.0714286,0,0,0,0,0,0,0,0,0,0,0,1.035714,0,0,0,0,0,0
