PCC,SEPCC,quadratic,Zscore,NPL,profitability,profit_volat,capitalization,dummies,DtoD,Lerner,Hstatistic,Concentration,HHI,Boone,developed,undeveloped,GMM,SLS,Logit,FE,RE,OLS,T,endogeneity,macro,someAveraged,sampleyear,IFrecursive,citations,reviewed_journal,regulation,global,ownership,firstpub,lnobs
-0.05822503,0.01687682,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0794415,1,0,0,9,0.134,2.5758784,1,1,1,1,5,8.1602325
-0.05800706,0.01807074,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.9459101,1,0,0,9.5,0.134,2.5758784,1,1,1,1,5,8.0235524
-0.04269229,0.01808471,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.9459101,1,0,0,9.5,0.134,2.5758784,1,1,1,1,5,8.0235524
-0.0519985,0.01688263,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0794415,1,0,0,9,0.134,2.5758784,1,1,1,1,5,8.1602325
-0.05422376,0.01807459,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.9459101,1,0,0,9.5,0.134,2.5758784,1,1,1,1,5,8.0235524
-0.05879675,0.02202126,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.7917595,1,0,0,10,0.134,2.5758784,1,1,1,1,5,7.6280311
-0.0600495,0.0240198,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.6094379,1,0,0,10.5,0.134,2.5758784,1,1,1,1,5,7.4541411
-0.04947525,0.02403376,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.6094379,1,0,0,10.5,0.134,2.5758784,1,1,1,1,5,7.4541411
-0.05945507,0.0220204,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.7917595,1,0,0,10,0.134,2.5758784,1,1,1,1,5,7.6280311
-0.05909209,0.02402118,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.6094379,1,0,0,10.5,0.134,2.5758784,1,1,1,1,5,7.4541411
0.06923657,0.00893533,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,0,0,0,11,9.43068
0.0503214,0.00961878,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,0,1,0,11,9.2855406
0.04917293,0.00961933,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,0,1,0,11,9.2855406
0.02233449,0.00957192,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,0,1,0,11,9.2973434
0.02482909,0.00956917,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,0,1,0,11,9.2978016
-0.08421953,0.01112811,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.0794415,1,0,0,13,0.596,1.7917595,1,0,1,0,11,8.9894443
0.02191912,0.00917752,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,0,1,0,11,9.3815167
