PCC,SEPCC,dummies,Hstatistic,developed,undeveloped,Logit,lnobs,citations,firstpub,quadratic,Boone,IFrecursive,regulation,OLS,reviewed_journal,ownership,Concentration,FE,endogeneity,NPL,Lerner,global,HHI,macro,Zscore,RE,T,DtoD,sampleyear,GMM,someAveraged,profit_volat,profitability,SLS,capitalization
-0.05822503,0.01687682,0,0,0,1,0,8.1602325,2.5758784,5,0,0,0.134,1,0,1,1,0,0,1,1,1,1,0,0,0,0,2.0794415,0,9,0,0,0,0,1,0
-0.05800706,0.01807074,0,0,0,1,0,8.0235524,2.5758784,5,0,0,0.134,1,0,1,1,0,0,1,1,1,1,0,0,0,0,2.0794415,0,9,1,0,0,0,0,0
-0.04323241,0.01808429,0,0,0,1,0,8.0235524,2.5758784,5,1,0,0.134,1,0,1,1,0,0,1,1,1,1,0,0,0,0,2.0794415,0,9,1,0,0,0,0,0
-0.0519985,0.01688263,0,0,0,1,0,8.1602325,2.5758784,5,0,0,0.134,1,0,1,1,0,0,1,1,1,1,0,0,0,0,2.0794415,0,9,0,0,0,0,1,0
-0.05422376,0.01807459,0,0,0,1,0,8.0235524,2.5758784,5,0,0,0.134,1,0,1,1,0,0,1,1,1,1,0,0,0,0,2.0794415,0,9,1,0,0,0,0,0
-0.05879675,0.02202126,0,0,0,1,0,7.6280311,2.5758784,5,0,0,0.134,1,0,1,1,0,0,1,0,1,1,0,0,1,0,2.0794415,0,9,0,0,0,0,1,0
-0.0600495,0.0240198,0,0,0,1,0,7.4541411,2.5758784,5,0,0,0.134,1,0,1,1,0,0,1,0,1,1,0,0,1,0,2.0794415,0,9,1,0,0,0,0,0
-0.04998176,0.02403315,0,0,0,1,0,7.4541411,2.5758784,5,1,0,0.134,1,0,1,1,0,0,1,0,1,1,0,0,1,0,2.0794415,0,9,1,0,0,0,0,0
-0.05945507,0.0220204,0,0,0,1,0,7.6280311,2.5758784,5,0,0,0.134,1,0,1,1,0,0,1,0,1,1,0,0,1,0,2.0794415,0,9,0,0,0,0,1,0
-0.05909209,0.02402118,0,0,0,1,0,7.4541411,2.5758784,5,0,0,0.134,1,0,1,1,0,0,1,0,1,1,0,0,1,0,2.0794415,0,9,1,0,0,0,0,0
0.06923657,0.00893533,0,0,0,0,0,9.43068,1.7917595,11,0,0,0.596,0,0,1,0,0,1,1,0,1,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
0.0503214,0.00961878,0,0,0,0,0,9.2855406,1.7917595,11,0,0,0.596,0,0,1,0,0,1,1,0,1,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
0.04917293,0.00961933,0,0,0,0,0,9.2855406,1.7917595,11,0,0,0.596,0,0,1,0,0,1,1,0,1,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
0.02233449,0.00957192,0,0,0,0,0,9.2973434,1.7917595,11,0,0,0.596,0,0,1,0,0,1,1,0,1,1,0,0,0,0,2.5649494,0,10.5,0,0,0,0,0,0
0.02482909,0.00956917,0,0,0,0,0,9.2978016,1.7917595,11,0,0,0.596,0,0,1,0,0,1,1,0,1,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
-0.08421953,0.01112811,0,0,0,0,0,8.9894443,1.7917595,11,0,0,0.596,0,0,1,0,0,1,1,0,1,1,0,0,1,0,2.5649494,0,10.5,0,0,0,0,0,0
0.02191912,0.00917752,0,1,0,0,0,9.3815167,1.7917595,11,0,0,0.596,0,0,1,0,0,1,1,0,0,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
0.05917793,0.00905852,0,0,0,0,0,9.4045905,1.7917595,11,0,0,0.596,0,0,1,0,1,1,1,0,0,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
-0.00651758,0.00916371,0,0,0,0,0,9.3849657,1.7917595,11,0,0,0.596,0,0,1,0,0,1,1,0,0,1,1,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
0.00292581,0.00911501,0,0,0,0,0,9.3956574,1.7917595,11,0,0,0.596,0,0,1,0,0,1,1,0,0,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
0.0531622,0.00936494,0,0,0,0,0,9.3387336,1.7917595,11,0,0,0.596,0,0,1,0,0,1,1,0,0,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
0.01700047,0.00913577,0,0,0,0,0,9.3908269,1.7917595,11,0,0,0.596,0,0,1,0,0,1,1,0,0,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
0.03124515,0.0096894,0,0,0,0,0,9.2724697,1.7917595,11,0,0,0.596,1,0,1,0,0,1,1,0,1,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
0.00074082,0.00969413,0,0,0,0,0,9.2724697,1.7917595,11,0,0,0.596,1,0,1,0,0,1,1,0,1,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
-0.0008652,0.00969413,0,0,0,0,0,9.2724697,1.7917595,11,0,0,0.596,1,0,1,0,0,1,1,0,1,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
0.05335178,0.00968032,0,0,0,0,0,9.2724697,1.7917595,11,0,0,0.596,1,0,1,0,0,1,1,0,1,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
-0.06193448,0.01799292,0,0,0,0,0,8.0317104,1.7917595,11,0,0,0.596,1,0,1,0,0,1,1,0,1,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
-0.02163825,0.01553998,0,0,0,0,0,8.3282095,1.7917595,11,0,0,0.596,1,0,1,0,0,1,1,0,1,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
0.01870503,0.01027802,0,0,0,0,0,9.1551447,1.7917595,11,0,0,0.596,1,0,1,0,0,1,1,0,1,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
0.05098194,0.00961846,0,0,0,0,0,9.2855406,1.7917595,11,0,0,0.596,0,0,1,0,0,1,1,0,1,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
0.02520995,0.00962792,0,0,0,0,0,9.2855406,1.7917595,11,0,0,0.596,0,0,1,0,0,1,1,0,1,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
0.03152647,0.00962619,0,0,0,0,0,9.2855406,1.7917595,11,0,0,0.596,0,0,1,0,0,1,1,0,1,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
0.03313269,0.01014266,0,0,0,0,0,9.1809116,1.7917595,11,0,0,0.596,0,0,1,0,0,0,1,0,1,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,1,0
0.03579223,0.01423017,0,0,0,0,0,8.5034999,1.7917595,11,0,0,0.596,0,0,1,0,0,1,1,0,1,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
0.04507346,0.01066254,0,0,0,0,0,9.0800039,1.7917595,11,0,0,0.596,0,0,1,0,0,1,1,0,1,1,0,0,0,0,2.1972246,1,10.5,0,0,0,0,0,0
0.05646726,0.00999905,0,0,0,0,0,9.2073359,1.7917595,11,0,0,0.596,0,0,1,0,0,1,1,0,1,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
0.04618328,0.00928327,0,0,0,0,0,9.3569484,1.7917595,11,0,0,0.596,0,0,1,0,0,1,1,0,1,1,0,0,0,0,2.6390573,1,10.5,0,0,0,0,0,0
0.02533179,0.06187858,0,0,0,1,0,5.5645204,0.87546874,7,0,0,0.005,0,0,1,0,0,1,0,1,1,1,0,0,0,0,2.1972246,0,12.5,0,0,0,0,0,0
-0.00447147,0.06189783,0,0,0,1,0,5.5645204,0.87546874,7,0,0,0.005,0,0,1,1,0,0,0,1,1,1,0,0,0,1,2.1972246,0,12.5,0,0,0,0,0,0
