PCC_w,SEPCC_w,dummies_w,Hstatistic_w,developed_w,undeveloped_w,Logit_w,lnobs_w,citations_w,firstpub_w,quadratic_w,Boone_w,IFrecursive_w,regulation_w,OLS_w,reviewed_journal_w,ownership_w,Concentration_w,FE_w,endogeneity_w,NPL_w,Lerner_w,global_w,HHI_w,macro_w,Zscore_w,RE_w,T_w,DtoD_w,sampleyear_w,GMM_w,someAveraged_w,profit_volat_w,profitability_w,SLS_w,capitalization_w
-0.0058225,0.0016877,0,0,0,0.1,0,0.8160232,0.2575879,0.5,0,0,0.0134,0.1,0,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0.2079442,0,0.9,0,0,0,0,0.1,0
-0.0058007,0.0018071,0,0,0,0.1,0,0.8023552,0.2575879,0.5,0,0,0.0134,0.1,0,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0.2079442,0,0.9,0.1,0,0,0,0,0
-0.0043232,0.0018084,0,0,0,0.1,0,0.8023552,0.2575879,0.5,0.1,0,0.0134,0.1,0,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0.2079442,0,0.9,0.1,0,0,0,0,0
-0.0051999,0.0016883,0,0,0,0.1,0,0.8160232,0.2575879,0.5,0,0,0.0134,0.1,0,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0.2079442,0,0.9,0,0,0,0,0.1,0
-0.0054224,0.0018075,0,0,0,0.1,0,0.8023552,0.2575879,0.5,0,0,0.0134,0.1,0,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0.2079442,0,0.9,0.1,0,0,0,0,0
-0.0058797,0.0022021,0,0,0,0.1,0,0.7628031,0.2575879,0.5,0,0,0.0134,0.1,0,0.1,0.1,0,0,0.1,0,0.1,0.1,0,0,0.1,0,0.2079442,0,0.9,0,0,0,0,0.1,0
-0.006005,0.002402,0,0,0,0.1,0,0.7454141,0.2575879,0.5,0,0,0.0134,0.1,0,0.1,0.1,0,0,0.1,0,0.1,0.1,0,0,0.1,0,0.2079442,0,0.9,0.1,0,0,0,0,0
-0.0049982,0.0024033,0,0,0,0.1,0,0.7454141,0.2575879,0.5,0.1,0,0.0134,0.1,0,0.1,0.1,0,0,0.1,0,0.1,0.1,0,0,0.1,0,0.2079442,0,0.9,0.1,0,0,0,0,0
-0.0059455,0.002202,0,0,0,0.1,0,0.7628031,0.2575879,0.5,0,0,0.0134,0.1,0,0.1,0.1,0,0,0.1,0,0.1,0.1,0,0,0.1,0,0.2079442,0,0.9,0,0,0,0,0.1,0
-0.0059092,0.0024021,0,0,0,0.1,0,0.7454141,0.2575879,0.5,0,0,0.0134,0.1,0,0.1,0.1,0,0,0.1,0,0.1,0.1,0,0,0.1,0,0.2079442,0,0.9,0.1,0,0,0,0,0
